AllSF,OverallQual,NeighborPrice,GrLivArea,ExterQual_,NeighborBin,KitchenQual_,SimplOverallQual,TotalBsmtSF,GarageCars,TotalBath,GarageScore,GarageArea,1stFlrSF,BsmtQual_,OverallGrade,FullBath,TotRmsAbvGrd,Now_YearBuilt,YearBuilt,Id,SalePrice
2398.0,5,140000.0,1524,2,2,2,2,874.0,1.0,1.5,945.0,315.0,874,3,25,1,7,59,1958,1,144000
2514.0,6,119000.0,1635,2,1,3,2,485.0,1.0,1.0,510.0,255.0,1001,3,48,1,5,107,1910,2,117000
5288.0,9,315000.0,3140,4,4,4,3,1926.0,3.0,3.5,2460.0,820.0,1966,5,45,3,11,9,2008,3,485000
1845.0,6,197200.0,848,3,2,3,2,848.0,2.0,2.0,1260.0,420.0,848,4,30,1,3,13,2004,4,149300
3825.0,9,278000.0,1856,3,4,4,3,1856.0,3.0,2.5,2502.0,834.0,1856,5,18,1,8,7,2010,5,394432
2382.0,6,181000.0,1560,3,2,3,2,684.0,2.0,2.5,1200.0,400.0,684,4,30,2,6,12,2005,6,174000
5247.0,7,182900.0,2784,2,2,3,3,1392.0,2.0,4.5,1692.0,564.0,1392,4,35,3,12,39,1978,7,250000
2483.0,6,181000.0,1511,2,2,2,2,802.0,2.0,3.5,1239.0,413.0,802,4,30,2,8,20,1997,8,185000
1535.0,5,179900.0,1535,2,2,2,2,0.0,2.0,2.0,1200.0,400.0,1535,0,25,2,8,38,1979,9,118858
1979.0,6,135000.0,913,2,1,2,2,814.0,1.0,2.0,720.0,240.0,913,3,30,1,6,51,1966,10,129000
2374.0,5,140000.0,1144,2,2,2,2,1144.0,1.0,2.0,2388.0,796.0,1144,3,30,1,6,58,1959,11,143000
728.0,2,139500.0,438,2,2,1,1,290.0,1.0,1.0,738.0,246.0,438,3,10,1,3,97,1920,12,60000
2903.0,7,315000.0,1368,3,4,3,3,1368.0,2.0,2.0,1422.0,474.0,1368,4,35,2,6,12,2005,13,202665
3948.0,8,226250.0,1800,3,3,3,3,1800.0,3.0,3.0,2295.0,765.0,1800,5,40,2,7,15,2002,14,312500
3443.0,6,181000.0,2267,3,2,3,2,1010.0,2.0,2.5,1170.0,390.0,1010,4,30,2,8,15,2002,15,200000
4546.0,6,200624.0,2259,2,3,3,2,1809.0,2.0,3.0,1350.0,450.0,2259,4,30,2,7,64,1953,16,217000
3370.0,7,225000.0,2094,3,3,3,3,912.0,2.0,2.5,1845.0,615.0,912,4,35,2,8,14,2003,17,263000
2904.0,5,119000.0,1416,2,1,2,2,876.0,3.0,1.5,2160.0,720.0,876,3,40,1,7,102,1915,18,153900
3449.0,6,226250.0,1651,2,3,2,2,1606.0,2.0,3.0,1848.0,616.0,1651,4,30,2,7,31,1986,19,184000
4508.0,7,179900.0,2196,3,2,3,3,2158.0,3.0,2.0,2103.0,701.0,2196,4,49,2,7,27,1990,20,271900
3426.0,7,315000.0,2046,3,4,3,3,998.0,3.0,3.5,2613.0,871.0,1006,4,35,2,8,14,2003,21,284000
2618.0,5,124300.0,1576,2,1,2,2,1042.0,1.0,1.0,675.0,225.0,1042,3,30,1,8,89,1928,22,149000
1874.0,5,200624.0,954,2,3,1,2,920.0,1.0,1.0,480.0,240.0,954,2,35,1,5,79,1938,23,119750
2268.0,7,200624.0,1564,2,3,1,3,704.0,1.0,1.5,702.0,234.0,860,3,49,1,7,76,1941,24,174500
2774.0,6,140000.0,1734,2,2,3,2,912.0,2.0,1.5,1320.0,440.0,1085,3,42,1,7,55,1962,25,159000
3118.0,8,225000.0,1489,3,3,3,3,1489.0,2.0,2.0,2328.0,776.0,1489,4,40,2,7,11,2006,26,232600
3268.0,7,197200.0,1552,3,2,3,3,1552.0,3.0,2.0,2346.0,782.0,1552,4,35,2,7,12,2005,27,212900
2258.0,5,119000.0,1472,2,1,3,2,702.0,1.0,1.0,750.0,250.0,842,3,40,1,6,92,1925,28,125000
2521.0,5,135000.0,1228,2,1,3,2,1228.0,1.0,1.5,813.0,271.0,1228,3,30,1,6,51,1966,29,149350
2057.0,6,124300.0,1362,2,1,2,2,611.0,2.0,2.0,1506.0,502.0,751,2,48,2,6,97,1920,30,128000
1824.0,5,120000.0,864,2,1,2,2,864.0,0.0,2.0,0.0,0.0,864,3,30,1,5,92,1925,31,98000
3542.0,5,120000.0,2200,2,1,2,2,1272.0,0.0,5.0,0.0,0.0,1272,3,35,2,9,117,1900,32,145900
2158.0,6,103000.0,1012,2,1,2,2,1012.0,1.0,1.0,924.0,308.0,1012,3,30,1,6,97,1920,33,118400
2408.0,6,139500.0,1482,2,2,1,2,672.0,1.0,2.0,1200.0,400.0,810,3,48,2,7,92,1925,34,140000
1594.0,5,197200.0,768,2,2,2,2,768.0,2.0,2.0,1188.0,396.0,768,4,35,1,5,45,1972,35,133000
2998.0,7,181000.0,1804,2,2,3,3,994.0,2.0,2.5,1326.0,442.0,1028,3,35,2,7,18,1999,36,189000
2430.0,5,179900.0,1224,2,2,2,2,1086.0,2.0,3.0,1584.0,528.0,1224,4,25,0,6,38,1979,37,153337
